f1_costo,f2_desbalance
73127.0610,2077.0000
74525.4580,1974.0000
74584.1320,1932.0000
75047.9360,1922.0000
75341.3060,1856.0000
76443.5390,1851.0000
76706.1750,1850.0000
78990.2700,1843.0000
93692.8460,633.0000
93878.6470,599.0000
94985.0710,594.0000
95033.9660,140.0000
95745.0390,113.0000
96715.9540,44.0000
97527.6110,42.0000
100124.6340,33.0000
101801.0340,32.0000
102647.6160,30.0000
103372.6590,23.0000
105005.7520,21.0000
105947.3300,20.0000
110048.9220,17.0000
110843.8150,12.0000
111022.6310,2.0000
116841.1360,1.0000
